"pid","cond","trial","base","tax","the","unr1","unr2","unr3","sel1","sel2","seltype1","seltype2","rt","tax_sel","the_sel","unr_sel"
4742,"sextet_rand",38,"CAR","BIKE","SEATBELT","SHRIMP","COTTON","BISCUIT","CAR","BIKE","BASE","TAXONOMIC",15.1649795601,1,0,0
4742,"sextet_rand",39,"SURGEON","BUTCHER","KIDNEY","PENGUIN","MOVIE","HOUSE","SURGEON","BUTCHER","BASE","TAXONOMIC",15.4662677997,1,0,0
4742,"sextet_rand",40,"ROBBERY","TREASON","BANK","STEW","TUB","SHORE","TREASON","ROBBERY","TAXONOMIC","BASE",25.4792114432,1,0,0
4742,"sextet_rand",41,"FIELD","COURT","GRASS","GAS","TOAD","SCHOOL","GRASS","FIELD","THEMATIC","BASE",20.5229192903,0,1,0
4742,"sextet_rand",42,"CAMEL","ANTELOPE","DESERT","CORK","ENGINE","PAMPHLET","CAMEL","ANTELOPE","BASE","TAXONOMIC",10.9595322848,1,0,0
4742,"sextet_rand",43,"PENGUIN","GOOSE","ICE","VOLCANO","HEAD","BRICK","GOOSE","PENGUIN","TAXONOMIC","BASE",29.9778487802,1,0,0
4742,"sextet_rand",44,"SILVER","GOLD","BULLET","STAIRS","BALLOON","LIBRARY","SILVER","GOLD","BASE","TAXONOMIC",9.32237905868,1,0,0
4742,"sextet_rand",45,"MILK","LEMONADE","COW","GUITAR","LEAF","WINDOW","MILK","LEMONADE","BASE","TAXONOMIC",33.8640763489,1,0,0
4742,"sextet_rand",46,"CITY","VILLAGE","AIRPORT","WHALE","NECK","CABINET","CITY","VILLAGE","BASE","TAXONOMIC",21.916025394,1,0,0
4742,"sextet_rand",47,"BISCUITS","TOAST","GRAVY","SNAIL","PELICAN","DANCE","BISCUITS","TOAST","BASE","TAXONOMIC",16.9838026509,1,0,0
4742,"sextet_rand",48,"MONKEY","BEAR","BANANA","AIRPLANE","HAMMER","PLUG","MONKEY","BEAR","BASE","TAXONOMIC",17.8792086622,1,0,0
4742,"sextet_rand",49,"NEEDLE","PIN","THREAD","WAX","HYDRANT","WRIST","NEEDLE","PIN","BASE","TAXONOMIC",6.99961861326,1,0,0
4742,"sextet_rand",50,"COOKIE","BISCUIT","CHOCOLATE","PAGE","WAVE","FUR","BISCUIT","COOKIE","TAXONOMIC","BASE",5.81233256393,1,0,0
4742,"sextet_rand",51,"PENCIL","PEN","ERASER","FLUTE","MINT","SHEEP","PEN","PENCIL","TAXONOMIC","BASE",6.10486678612,1,0,0
4742,"sextet_rand",52,"RIVER","LAKE","RAPIDS","GLASS","BUDGET","FEATHER","RIVER","RAPIDS","BASE","THEMATIC",7.7656156681,0,1,0
4742,"sextet_rand",53,"WAITRESS","STEWARDESS","RESTAURANT","SWAN","BEACH","CALCIUM","WAITRESS","STEWARDESS","BASE","TAXONOMIC",6.68741152291,1,0,0
4742,"sextet_rand",54,"TRUCK","BUS","TRAILER","CLIMATE","CACTUS","CLUB","BUS","TRUCK","TAXONOMIC","BASE",21.9905613404,1,0,0
4742,"sextet_rand",55,"COW_2","BUFFALO","FARM","SKY","SLIDE","CHALK","COW","BUFFALO","BASE","TAXONOMIC",8.38421966023,1,0,0
4742,"sextet_rand",56,"FOOTBALL","BASEBALL","QUARTERBACK","CLOUD","PLANT","NECKLACE","FOOTBALL","BASEBALL","BASE","TAXONOMIC",8.07446741592,1,0,0
4742,"sextet_rand",57,"TORTILLA","BAGEL","BEANS","COLD","KNOB","SALESMAN","TORTILLA","BAGEL","BASE","TAXONOMIC",11.5454426271,1,0,0
4742,"sextet_rand",58,"CIGARETTES","ALCOHOL","LUNGS","OUTLET","SOCK","CARPET","ALCOHOL","CIGARETTES","TAXONOMIC","BASE",9.84880598141,1,0,0
4742,"sextet_rand",59,"TOOTHBRUSH","COMB","FLOSS","CAKE","CUP","GLASSES","COMB","FLOSS","TAXONOMIC","THEMATIC",22.7579270174,0,0,1
4751,"sextet_rand",1,"BEER","JUICE","PARTY","SHOP","SNOW","WOUND","PARTY","BEER","THEMATIC","BASE",3.84316562908,0,1,0
4751,"sextet_rand",2,"CAR","BIKE","SEATBELT","SHRIMP","COTTON","BISCUIT","CAR","SEATBELT","BASE","THEMATIC",7.79850563934,0,1,0
4751,"sextet_rand",3,"SUBMARINE","AIRPLANE","OCEAN","SHEET","CROW","DOCTOR","SUBMARINE","OCEAN","BASE","THEMATIC",8.10378784567,0,1,0
4751,"sextet_rand",4,"CITY","VILLAGE","AIRPORT","WHALE","NECK","CABINET","CITY","VILLAGE","BASE","TAXONOMIC",7.28086650273,1,0,0
4751,"sextet_rand",5,"SHOE","GLOVE","FOOT","WALL","CARD","TIGER","SHOE","FOOT","BASE","THEMATIC",3.47110267117,0,1,0
4751,"sextet_rand",6,"CAKE","DONUT","CANDLE","BROCHURE","LAKE","DRUM","CAKE","CANDLE","BASE","THEMATIC",7.50391980814,0,1,0
4751,"sextet_rand",7,"RABBI","PASTOR","TEMPLE","DRIVEWAY","GLOVES","APPLE","RABBI","TEMPLE","BASE","THEMATIC",8.16440781101,0,1,0
4751,"sextet_rand",8,"CROWN","HAT","KING","SHOVEL","NOSE","TENT","CROWN","KING","BASE","THEMATIC",6.05193017446,0,1,0
4751,"sextet_rand",9,"SPOON","LADLE","CEREAL","LION","TREE","STEREO","CEREAL","SPOON","THEMATIC","BASE",12.8609994319,0,1,0
4751,"sextet_rand",10,"SHIP","CANOE","SAILOR","UMBRELLA","BANANA","CHAIR","SAILOR","SHIP","THEMATIC","BASE",4.62384607337,0,1,0
4751,"sextet_rand",11,"BEE","BUTTERFLY","HONEY","ASPHALT","COACH","PLIERS","HONEY","BEE","THEMATIC","BASE",4.41358047989,0,1,0
4751,"sextet_rand",12,"PANTS","DRESS","POCKET","ICE","TEETH","DOG","PANTS","POCKET","BASE","THEMATIC",6.52568798591,0,1,0
4751,"sextet_rand",13,"COCONUT","ORANGE","BEACH","CYMBAL","SOCIETY","ROD","COCONUT","ORANGE","BASE","TAXONOMIC",11.7273131172,1,0,0
4751,"sextet_rand",14,"SNOW","RAIN","SLED","CEMETARY","WORK","NOVEL","RAIN","SNOW","TAXONOMIC","BASE",5.83106255933,1,0,0
4751,"sextet_rand",15,"WAITRESS","STEWARDESS","RESTAURANT","SWAN","BEACH","CALCIUM","WAITRESS","RESTAURANT","BASE","THEMATIC",4.52833849131,0,1,0
4751,"sextet_rand",16,"CROUTONS","BAGEL","SALAD","METAL","SHARK","SPOT","CROUTONS","SALAD","BASE","THEMATIC",7.97696748548,0,1,0
4751,"sextet_rand",17,"BICYCLE","CAR","HELMET","FISH","BEER","BANK","BICYCLE","HELMET","BASE","THEMATIC",6.48080320313,0,1,0
4751,"sextet_rand",18,"ROBBERY","TREASON","BANK","STEW","TUB","SHORE","ROBBERY","BANK","BASE","THEMATIC",8.31314830782,0,1,0
4751,"sextet_rand",19,"SILVER","GOLD","BULLET","STAIRS","BALLOON","LIBRARY","GOLD","SILVER","TAXONOMIC","BASE",5.58815727968,1,0,0
4751,"sextet_rand",20,"PACKAGE","CRATE","DELIVERY","TROUT","CHILD","BILL","DELIVERY","PACKAGE","THEMATIC","BASE",8.00450347553,0,1,0
4751,"sextet_rand",21,"PANDA","RACOON","BAMBOO","WHIP","FENDER","LAW","PANDA","BAMBOO","BASE","THEMATIC",7.32692689687,0,1,0
4751,"sextet_rand",22,"SURGEON","BUTCHER","KIDNEY","PENGUIN","MOVIE","HOUSE","KIDNEY","SURGEON","THEMATIC","BASE",4.19368454019,0,1,0
4751,"sextet_rand",23,"NEEDLE","PIN","THREAD","WAX","HYDRANT","WRIST","NEEDLE","THREAD","BASE","THEMATIC",4.55047315793,0,1,0
4751,"sextet_rand",24,"CHAIR","SOFA","LEGS","BREAD","BALL","KEYBOARD","CHAIR","SOFA","BASE","TAXONOMIC",15.4138062661,1,0,0
4751,"sextet_rand",25,"TRUCK","BUS","TRAILER","CLIMATE","CACTUS","CLUB","BUS","TRUCK","TAXONOMIC","BASE",2.87142565806,1,0,0
4751,"sextet_rand",26,"CRIB","BED","BABY","FERRY","BOWL","PATIO","CRIB","BABY","BASE","THEMATIC",8.07138950579,0,1,0
4751,"sextet_rand",27,"COW_2","BUFFALO","FARM","SKY","SLIDE","CHALK","COW","BUFFALO","BASE","TAXONOMIC",3.1628782913,1,0,0
4751,"sextet_rand",28,"TOOTHBRUSH","COMB","FLOSS","CAKE","CUP","GLASSES","TOOTHBRUSH","FLOSS","BASE","THEMATIC",4.77566745994,0,1,0
4751,"sextet_rand",29,"MONKEY","BEAR","BANANA","AIRPLANE","HAMMER","PLUG","MONKEY","BEAR","BASE","TAXONOMIC",7.32062275949,1,0,0
4751,"sextet_rand",30,"SAXOPHONE","HARP","JAZZ","SODA","HAIR","PILOT","SAXOPHONE","JAZZ","BASE","THEMATIC",2.04190817851,0,1,0
4751,"sextet_rand",31,"LAWNMOWER","SCISSORS","GRASS","BOMB","AUNT","INTERNET","GRASS","LAWNMOWER","THEMATIC","BASE",5.68211282953,0,1,0
4751,"sextet_rand",32,"POLICE","FIREMAN","HANDCUFFS","CARAVAN","CRAB","LAUNDRY","FIREMAN","POLICE","TAXONOMIC","BASE",7.76357332888,1,0,0
4751,"sextet_rand",33,"FLY","ANT","WINGS","CEREAL","BUSINESS","CONCRETE","FLY","WINGS","BASE","THEMATIC",5.10052222174,0,1,0
4751,"sextet_rand",34,"OVEN","MICROWAVE","PAN","SCREEN","BASKETBALL","BOOT","MICROWAVE","OVEN","TAXONOMIC","BASE",5.07190100098,1,0,0
4751,"sextet_rand",35,"COW","PIG","GRASS","CHISEL","PARCEL","HOTEL","COW","PIG","BASE","TAXONOMIC",1.78094198549,1,0,0
4751,"sextet_rand",36,"ROCKET","MISSILE","ASTRONAUT","BUG","CHEESE","WATER","ASTRONAUT","ROCKET","THEMATIC","BASE",5.54840764415,0,1,0
4751,"sextet_rand",37,"CUP","BOWL","TEA","LAMP","PHONE","TRUCK","TEA","CUP","THEMATIC","BASE",2.34573634787,0,1,0
4751,"sextet_rand",38,"BIRD","BAT","NEST","BONE","RAIN","BRACKET","NEST","BIRD","THEMATIC","BASE",2.92882535534,0,1,0
4751,"sextet_rand",39,"COOKIE","BISCUIT","CHOCOLATE","PAGE","WAVE","FUR","COOKIE","CHOCOLATE","BASE","THEMATIC",7.92097415176,0,1,0
4751,"sextet_rand",40,"TORTILLA","BAGEL","BEANS","COLD","KNOB","SALESMAN","BEANS","TORTILLA","THEMATIC","BASE",2.84386053428,0,1,0
4751,"sextet_rand",41,"BISCUITS","TOAST","GRAVY","SNAIL","PELICAN","DANCE","GRAVY","BISCUITS","THEMATIC","BASE",8.28156571178,0,1,0
4751,"sextet_rand",42,"CAMEL","ANTELOPE","DESERT","CORK","ENGINE","PAMPHLET","CAMEL","DESERT","BASE","THEMATIC",7.22934883513,0,1,0
4751,"sextet_rand",43,"SHAMPOO","BLEACH","SHOWER","TEAM","SAUCE","CIRCLE","SHAMPOO","SHOWER","BASE","THEMATIC",3.37445026677,0,1,0
4751,"sextet_rand",44,"RIVER","LAKE","RAPIDS","GLASS","BUDGET","FEATHER","RIVER","RAPIDS","BASE","THEMATIC",6.12830717259,0,1,0
4751,"sextet_rand",45,"FIELD","COURT","GRASS","GAS","TOAD","SCHOOL","GRASS","FIELD","THEMATIC","BASE",7.21389571988,0,1,0
4751,"sextet_rand",46,"MILK","LEMONADE","COW","GUITAR","LEAF","WINDOW","MILK","COW","BASE","THEMATIC",4.78157001556,0,1,0
4751,"sextet_rand",47,"RECEPTIONIST","HOSTESS","TELEPHONE","PARK","HAND","STRING","TELEPHONE","RECEPTIONIST","THEMATIC","BASE",7.66716392612,0,1,0
4751,"sextet_rand",48,"BOTTLE","CAN","BABY","CLOCK","BERRY","BELL","CAN","BOTTLE","TAXONOMIC","BASE",4.04220713009,1,0,0
4751,"sextet_rand",49,"CIGARETTES","ALCOHOL","LUNGS","OUTLET","SOCK","CARPET","CIGARETTES","LUNGS","BASE","THEMATIC",5.98231517643,0,1,0
